App_Name,date,text,rating,variation,predicted_sentiment
Apple iPhone XR (64GB) - Black,12-12-2018,note,3,green,positive
Apple iPhone XR (64GB) - Black,17-11-2018,bad experience iphone xr phone back camera found defective non functional amazon careless havent got response confirmation replacing hanging damaged piece worth 91000 rupees,1,yellow,negative
Apple iPhone XR (64GB) - Black,27-01-2019,amazing phone amazing camera coming iphone 7 plus great service amazon,4,purple,positive
Apple iPhone XR (64GB) - Black,02-05-2019,got iphone xr today product looks amazing unfortunately face id working ’ glitch front camera ’ portrait mode ’ fine may happen ’ fine pathetic service provided amazon apple firstly amazon takes responsibility product sold talking ab giant apple called market leaders went service centre running diagnostic solution came sending phone bangalore repair like sending new phone repair practical solution company provides charging bomb product also mention amazonin authorised apple reseller guess issue escalated consumer court thank amazon apple,1,white,negative
Apple iPhone XR (64GB) - Black,24-05-2019,ive android user life decided try iphone xr ios loving camera battery life absolute joy one month since got phone im loving face id works flawlessly even dark dual sim function working like charm im using vodafone primary sim jio esim faced problem whatsoever,5,red,positive
Apple iPhone XR (64GB) - Black,22-04-2019,delivered phone work immediately removing box able return need first check apple apple service told phone lying charge since 5 months hence battery failed leave phone apple repairs waiting replace battery please answer run around sub par quality device shipped dead phone last time ever purchase phone online,1,yellow,negative
Apple iPhone XR (64GB) - Black,07-12-2018,month since started using iphone xr experience awesome excellent battery life smooth operating system dual sim functionality best features iphone spent many days decide colour opted white ’ happy ab coral also good colour option bought wife issue bothering time taken charge phone need opt overnight charging extremely happy purchase,5,black,positive
Apple iPhone XR (64GB) - Black,25-11-2018,phone hanging video quality good,1,green,negative
Apple iPhone XR (64GB) - Black,27-04-2019,ill use review mostly say im fan particular iphone model,4,purple,negative
Apple iPhone XR (64GB) - Black,21-04-2019,went iphone xr month considerationamazon fering really good discounts felt time right upgrade used iphone 6 four seamless years,1,white,negative
Apple iPhone XR (64GB) - Black,12-12-2018,note,3,red,positive
Apple iPhone XR (64GB) - Black,17-11-2018,bad experience iphone xr phone back camera found defective non functional amazon careless havent got response confirmation replacing hanging damaged piece worth 91000 rupees,1,green,negative
Apple iPhone XR (64GB) - Black,27-01-2019,amazing phone amazing camera coming iphone 7 plus great service amazon,5,yellow,positive
Apple iPhone XR (64GB) - Black,02-05-2019,got iphone xr today product looks amazing unfortunately face id working ’ glitch front camera ’ portrait mode ’ fine may happen ’ fine pathetic service provided amazon apple firstly amazon takes responsibility product sold talking ab giant apple called market leaders went service centre running diagnostic solution came sending phone bangalore repair like sending new phone repair practical solution company provides charging bomb product also mention amazonin authorised apple reseller guess issue escalated consumer court thank amazon apple,1,black,negative
Apple iPhone XR (64GB) - Black,24-05-2019,ive android user life decided try iphone xr ios loving camera battery life absolute joy one month since got phone im loving face id works flawlessly even dark dual sim function working like charm im using vodafone primary sim jio esim faced problem whatsoever,5,purple,positive
Apple iPhone XR (64GB) - Black,22-04-2019,delivered phone work immediately removing box able return need first check apple apple service told phone lying charge since 5 months hence battery failed leave phone apple repairs waiting replace battery please answer run around sub par quality device shipped dead phone last time ever purchase phone online,1,red,negative
Apple iPhone XR (64GB) - Black,07-12-2018,month since started using iphone xr experience awesome excellent battery life smooth operating system dual sim functionality best features iphone spent many days decide colour opted white ’ happy ab coral also good colour option bought wife issue bothering time taken charge phone need opt overnight charging extremely happy purchase,5,white,positive
Apple iPhone XR (64GB) - Black,25-11-2018,phone hanging video quality good,1,green,negative
Apple iPhone XR (64GB) - Black,27-04-2019,ill use review mostly say im fan particular iphone model,4,yellow,negative
